PWS ID,lat,lng,FIPS
IL0775250,37.8883846000,-89.4948169000,17077
TN0000648,36.5008943000,-88.8753371000,47131
KS2011509,38.1694596000,-97.1066965000,20115
WA5333677,47.0378741000,-122.9006951000,53067
NJ0329003,39.9720578000,-74.6829363000,34005
MS0340006,31.8296038000,-89.4281208000,28129
TX2500003,32.7959605000,-95.4510641000,48499
AR0000582,35.2700850000,-91.6398575000,05145
OR4100540,44.3140116000,-123.2967637000,41003
CA0710009,37.9011827000,-121.6022434000,06013
AR0000410,34.9015512000,-92.4982990000,05119
OH7500312,40.3514368000,-84.3738386000,39149
MS0720004,34.6845455000,-90.3828769000,28143
MO3036131,37.1034245000,-94.5418141000,29097
NY3503526,41.4448160000,-74.0156961000,36071
OK2005509,35.5103197000,-97.3678624000,40109
OR4100369,45.3531842000,-119.5577997000,41049
WA5312400,47.4873895000,-117.5757622000,53063
IN5277004,39.1863242000,-87.3034771000,18153
PA7670101,39.9625984000,-76.7277450000,42133
NM3516218,35.9742227000,-105.3300057000,35033
NE3112701,40.3977793000,-95.6580455000,31127
LA1101009,29.6617351000,-91.1052203000,22101
MS0680001,34.0067800000,-90.0567563000,28135
AL0000378,31.4071111000,-86.6121861000,01039
WV3301720,39.2828653000,-80.5589856000,54033
OH8300512,39.2333935000,-84.1613239000,39025
WV3302610,39.9881293000,-80.7314718000,54051
TX2120003,32.1446035000,-95.1205003000,48423
GA0610001,31.6090569000,-85.0471505000,13061
TX1450015,31.4637866000,-96.0580197000,48289
MD0070018,39.5601129000,-76.0713385000,24015
AL0001357,31.6718301000,-88.1388989000,01129
CA4710003,41.6076387000,-122.8403099000,06093
OK2004703,35.0589583000,-97.4844761000,40087
MS0660002,30.7061829000,-89.1387996000,28131
CA3600086,34.8640316000,-116.8880980000,06071
FL3350825,27.9407591000,-82.5104655000,12057
AL0000266,33.2737256000,-85.8360741000,01027
MS0760004,33.3664005000,-91.0777723000,28151
LA1073055,32.5312001000,-92.0959429000,22073
IL1170450,39.4464409000,-89.7809301000,17117
TX0610008,33.0040126000,-97.2258483000,48121
IL0110450,41.3759255000,-89.2062985000,17011
NE3102506,40.8699301000,-96.1399720000,31025
OK3004006,34.6926014000,-94.8852320000,40079
IN5226002,38.3322686000,-87.4452954000,18051
KY0420423,36.9203256000,-88.5200479000,21083
PA4340002,40.6361901000,-77.2747096000,42067
KS2008903,39.7872343000,-98.2100511000,20089
MN1020015,45.1914282000,-93.1129236000,27003
NM3564420,35.1717230000,-103.7249662000,35037
OK2001303,36.7294675000,-102.5132419000,40025
MO4024609,37.4994884000,-91.8570984000,29215
NY6000610,42.6289515000,-78.0544514000,36121
NY4700098,42.6659087000,-74.3095787000,36095
KY0690089,37.4645267000,-84.5066044000,21137
PA2450053,41.1797865000,-75.4178994000,42089
NE3110912,40.5327480000,-96.6072541000,31109
MO4024448,36.2336790000,-89.7495272000,29155
MO5036180,37.0433863000,-93.2943530000,29043
KY0060022,38.1200809000,-83.6146346000,21011
TX0740001,33.5773275000,-96.1783111000,48147
DE0000663,39.7312603000,-75.5451379000,10003
NC0201020,36.0915260000,-79.3641862000,37001
MN1230006,43.7187813000,-91.9759204000,27045
GA1510013,33.8676889000,-84.4645184000,13067
NY1900027,42.3509179000,-73.8029028000,36039
MD0100015,39.4241558000,-77.3668965000,24021
NH0801010,42.9814292000,-70.9477546000,33015
LA1111001,32.8220876000,-92.6579295000,22111
TX1070200,32.2048735000,-95.8555207000,48213
AZ0420445,32.2206374000,-110.9685316000,04019
FL6090588,28.7499876000,-82.2967581000,12017
SC1320003,34.7359889000,-80.0881194000,45025
NY2602381,43.0552010000,-75.6440842000,36053
GA1290000,34.5000000000,-84.9500000000,13129
WV3305402,39.3200000000,-81.5100000000,54107
WI8510132,45.5460749000,-90.2865388000,55099
TX0910028,33.5303861000,-96.6894367000,48181
IL0510200,39.1444882000,-89.1086850000,17051
PA5040006,40.6155370000,-80.2621852000,42007
UTAH29008,41.3007423000,-111.8127212000,49057
NY3503557,41.2041676000,-74.2003231000,36071
KY1020299,37.3528615000,-84.3404919000,21203
AR0000028,36.2711798000,-92.5354402000,05005
PA5020034,40.3981246000,-80.1856134000,42003
KS2001510,37.5194642000,-97.0128147000,20015
WI2520177,42.6780726000,-88.2762026000,55101
IN5235001,40.8625448000,-85.6016458000,18069
NY0200311,42.1564581000,-77.7955509000,36003
LA1063005,30.5043578000,-90.5823138000,22063
OK1021504,36.5356470000,-95.4324740000,40131
NJ0122001,39.3386704000,-74.4818698000,34001
UTAH26057,40.5070087000,-111.4133234000,49051
OK2004101,35.4867368000,-96.6850174000,40081
MA2017000,42.1882948000,-71.8452740000,25027
IL0311230,41.8659365000,-87.9089623000,17031
PA5320046,40.6214551000,-79.1525349000,42063
OK1020605,34.9334298000,-95.7697131000,40121
OK3003703,35.7981025000,-97.6786573000,40073
WA5326050,47.1342432000,-122.4857321000,53053
OK3002603,35.1603415000,-97.8792104000,40051
NE3112302,41.7549696000,-103.3241025000,31123
MA3262000,42.4681642000,-71.0141180000,25009
NH0972010,42.9514721000,-71.8689917000,33011
WY5600019,44.2920873000,-105.5024209000,56005
WA5345950,48.0400945000,-122.4062570000,
MS0620009,32.3537557000,-89.6545171000,28123
LA1083005,32.3090366000,-91.7748485000,22083
IN5211001,39.5236520000,-87.1250154000,18021
VT0005341,43.4799996000,-72.3865679000,50027
ID6030012,42.4285297000,-112.1244073000,16005
IL1595050,38.8362021000,-88.0803051000,17159
TX2100012,31.7954512000,-94.1790862000,48419
IA6471063,41.9413772000,-93.1032569000,19127
OK1021674,36.4211914000,-94.7968959000,40041
VA2165210,38.4137973000,-78.9389102000,51165
AR0000176,34.5720347000,-93.1732401000,05051
LA1031012,31.8821289000,-93.5863346000,22031
MA3199000,42.2748016000,-71.2458436000,25021
MS0540004,34.5106609000,-89.9398117000,28107
CO0135610,40.2247075000,-105.2713780000,08013
TX1230010,29.9726308000,-93.9572374000,48245
IL1210300,38.7733806000,-88.8467224000,17121
FL3350044,29.1624801000,-81.5253491000,12127
CA4210001,34.3988838000,-119.5184564000,06083
OH7700411,41.0274472000,-81.6363869000,39153
CA4110012,37.3190255000,-122.2742270000,06081
OK1020603,35.1247709000,-95.6746759000,40121
AL0000177,32.8687391000,-85.1904971000,01017
LA1075005,29.7310184000,-90.0279867000,22075
NE3117308,42.1141648000,-96.7072585000,31173
KY1060324,38.2622928000,-85.0577313000,21211
OH1100812,40.2231134000,-83.5574270000,39021
TX0920001,32.5365333000,-94.9427168000,48183
NJ1349001,40.1505348000,-74.0447003000,34025
TX1470002,31.5243379000,-96.5338693000,48293
AL0000728,34.5039911000,-85.8281458000,01049
TX2400001,27.5165805000,-99.5117328000,48479
WI1140153,43.3049943000,-88.8448278000,55027
AL0000232,32.0895908000,-88.2219652000,01023
MS0070002,33.8526146000,-89.4111867000,28013
KY0450169,38.5731349000,-82.8301677000,21089
WI4690402,44.3580348000,-89.0859464000,55135
IL1977910,41.5151528000,-88.1308445000,17197
NC0201130,35.9474494000,-79.3216982000,37001
KY0080034,39.0275600000,-84.7241133000,21015
MI0002650,43.9808549000,-84.4864007000,26051
MS0090004,34.0381236000,-89.0210789000,28017
VA2171650,38.8209466000,-78.5658453000,51171
TX0790001,29.3994101000,-95.8377297000,48157
MN1430003,44.7690437000,-94.1517524000,27085
AL0000036,30.4100000000,-87.6800000000,01003
SC2110001,34.1980902000,-79.8520818000,45041
TX0920016,32.3862619000,-94.8757709000,48183
PA4340009,40.6886932000,-77.1127615000,42067
PA6530006,41.9039569000,-77.7619373000,42105
SD4600059,44.3874696000,-97.5503541000,46077
IL0310750,41.5736457000,-87.6464346000,17031
TX0700002,32.5340262000,-96.6655488000,48139
MO4036226,37.7242202000,-89.8612196000,29157
IL1695100,40.2917112000,-90.9190230000,17067
WY5600187,42.0544141000,-104.9527501000,56031
TX0930013,30.6717010000,-96.3438274000,48041
NY5903442,41.1693588000,-73.7830861000,36119
CA5010028,37.5350396000,-120.9646866000,06099
TX2010038,32.1532156000,-94.7993802000,48401
LA1077013,30.8793819000,-91.6822950000,22077
CA5610043,34.2985355000,-119.2204548000,06111
NY3510641,41.4227446000,-74.2047875000,36071
PA6620029,41.9414478000,-79.1350456000,42123
MI0000600,42.1167065000,-86.4541894000,26021
GA0830000,34.8720222000,-85.5091300000,13083
IL0950600,41.0253155000,-90.2798474000,17095
MI0007100,43.4100107000,-86.3486792000,26121
NE3110705,42.4666706000,-97.9061782000,31107
CT1530011,41.6182645000,-73.1231585000,09005
NM3562201,35.1808064000,-106.5190360000,35001
KY0600198,37.3359313000,-82.9804414000,21119
MA2054003,42.1356500000,-71.9700740000,25027
MS0260016,33.1829034000,-90.2228629000,28051
LA1019096,30.1412524000,-93.2784825000,22019
